param_max_depth,param_min_samples_split,param_n_estimators,mean_test_score,rank_test_score
5,2,200,0.8440594557602131,1
5,5,200,0.8440327575713695,2
5,10,200,0.8439439064166457,3
5,2,100,0.8439101664087659,4
5,5,100,0.8438523784975164,5
5,10,100,0.8436026191656932,6
10,10,200,0.8426082585945908,7
10,10,100,0.8417502432014311,8
10,2,200,0.841336670976404,9
10,5,200,0.8413028545224682,10
10,5,100,0.8410378246471142,11
10,2,100,0.8404406230248359,12
15,10,100,0.8402926765522732,13
15,10,200,0.8400442233748482,14
,10,200,0.8397468965447533,15
,10,100,0.8392130990594627,16
,5,200,0.8354762633268041,17
,5,100,0.8349651124503712,18
15,5,200,0.83490776739513,19
15,5,100,0.8337081178858945,20
15,2,200,0.8303478323076515,21
15,2,100,0.8301688636661709,22
,2,100,0.8294290087394408,23
,2,200,0.8289496191762256,24
